Aegis Router v0.3 - event-driven P2P simulation
nodes=100 duration=15.0s traffic_rate=20.0/s sybil_ratio=0.20 ttl=18 drain=10.0s
shortest-path : generated= 337 | delivery= 60.5% | drop= 39.5% | inflight=  0 | hops= 2.91 | latency= 1.251 | queue= 0.000 | risk= 0.349 | sybil= 54.9%
hybrid v0.3   : generated= 313 | delivery= 54.0% | drop= 46.0% | inflight=  0 | hops= 4.98 | latency= 1.723 | queue= 0.001 | risk= 0.344 | sybil= 46.3%
risk-aware   : generated= 309 | delivery= 47.6% | drop= 52.4% | inflight=  0 | hops= 5.56 | latency= 1.903 | queue= 0.001 | risk= 0.328 | sybil= 40.5%
adaptive-risk: generated= 318 | delivery= 48.7% | drop= 51.3% | inflight=  0 | hops= 5.74 | latency= 2.013 | queue= 0.002 | risk= 0.364 | sybil= 50.0%
learned #01  : generated= 337 | delivery= 46.9% | drop= 53.1% | inflight=  0 | hops= 5.71 | latency= 1.923 | queue= 0.002 | risk= 0.344 | sybil= 42.4%
learned #02  : generated= 311 | delivery= 53.7% | drop= 46.3% | inflight=  0 | hops= 5.35 | latency= 1.829 | queue= 0.002 | risk= 0.334 | sybil= 35.4%
learned #03  : generated= 318 | delivery= 50.6% | drop= 49.4% | inflight=  0 | hops= 5.89 | latency= 1.980 | queue= 0.002 | risk= 0.364 | sybil= 46.9%
learned #04  : generated= 340 | delivery= 50.6% | drop= 49.4% | inflight=  0 | hops= 5.52 | latency= 1.826 | queue= 0.002 | risk= 0.333 | sybil= 40.9%
learned #05  : generated= 301 | delivery= 53.5% | drop= 46.5% | inflight=  0 | hops= 5.29 | latency= 1.868 | queue= 0.001 | risk= 0.348 | sybil= 40.9%
learned #06  : generated= 308 | delivery= 50.3% | drop= 49.7% | inflight=  0 | hops= 5.61 | latency= 1.952 | queue= 0.001 | risk= 0.335 | sybil= 44.2%
learned #07  : generated= 286 | delivery= 49.7% | drop= 50.3% | inflight=  0 | hops= 5.25 | latency= 1.811 | queue= 0.003 | risk= 0.349 | sybil= 45.1%
learned #08  : generated= 309 | delivery= 53.1% | drop= 46.9% | inflight=  0 | hops= 5.46 | latency= 1.818 | queue= 0.002 | risk= 0.332 | sybil= 43.0%
learned #09  : generated= 298 | delivery= 53.4% | drop= 46.6% | inflight=  0 | hops= 5.81 | latency= 1.919 | queue= 0.001 | risk= 0.342 | sybil= 40.6%
learned #10  : generated= 298 | delivery= 54.0% | drop= 46.0% | inflight=  0 | hops= 5.48 | latency= 1.846 | queue= 0.004 | risk= 0.337 | sybil= 40.3%
learned #11  : generated= 287 | delivery= 52.6% | drop= 47.4% | inflight=  0 | hops= 5.63 | latency= 1.907 | queue= 0.002 | risk= 0.357 | sybil= 41.5%
learned #12  : generated= 299 | delivery= 54.8% | drop= 45.2% | inflight=  0 | hops= 5.02 | latency= 1.740 | queue= 0.001 | risk= 0.328 | sybil= 41.8%
learned #13  : generated= 322 | delivery= 50.6% | drop= 49.4% | inflight=  0 | hops= 5.37 | latency= 1.832 | queue= 0.001 | risk= 0.315 | sybil= 42.2%
learned #14  : generated= 304 | delivery= 52.6% | drop= 47.4% | inflight=  0 | hops= 5.67 | latency= 1.905 | queue= 0.001 | risk= 0.344 | sybil= 41.4%
learned #15  : generated= 276 | delivery= 50.4% | drop= 49.6% | inflight=  0 | hops= 5.59 | latency= 1.897 | queue= 0.003 | risk= 0.335 | sybil= 42.8%
learned #16  : generated= 334 | delivery= 53.3% | drop= 46.7% | inflight=  0 | hops= 5.69 | latency= 1.921 | queue= 0.002 | risk= 0.352 | sybil= 42.5%
learned #17  : generated= 304 | delivery= 52.0% | drop= 48.0% | inflight=  0 | hops= 5.87 | latency= 1.902 | queue= 0.001 | risk= 0.343 | sybil= 42.1%
learned #18  : generated= 277 | delivery= 54.9% | drop= 45.1% | inflight=  0 | hops= 5.89 | latency= 1.973 | queue= 0.002 | risk= 0.331 | sybil= 36.8%
learned #19  : generated= 275 | delivery= 51.3% | drop= 48.7% | inflight=  0 | hops= 5.92 | latency= 1.980 | queue= 0.001 | risk= 0.353 | sybil= 41.5%
learned #20  : generated= 277 | delivery= 51.3% | drop= 48.7% | inflight=  0 | hops= 5.57 | latency= 1.817 | queue= 0.001 | risk= 0.349 | sybil= 44.4%
learned #21  : generated= 301 | delivery= 53.8% | drop= 46.2% | inflight=  0 | hops= 5.40 | latency= 1.923 | queue= 0.001 | risk= 0.339 | sybil= 42.2%
learned #22  : generated= 301 | delivery= 50.8% | drop= 49.2% | inflight=  0 | hops= 5.97 | latency= 2.036 | queue= 0.004 | risk= 0.340 | sybil= 39.5%
learned #23  : generated= 277 | delivery= 53.8% | drop= 46.2% | inflight=  0 | hops= 5.38 | latency= 1.731 | queue= 0.001 | risk= 0.343 | sybil= 42.6%
learned #24  : generated= 328 | delivery= 53.0% | drop= 47.0% | inflight=  0 | hops= 5.88 | latency= 1.954 | queue= 0.003 | risk= 0.357 | sybil= 40.2%
learned #25  : generated= 282 | delivery= 53.2% | drop= 46.8% | inflight=  0 | hops= 5.97 | latency= 2.056 | queue= 0.001 | risk= 0.351 | sybil= 41.8%
learned #26  : generated= 330 | delivery= 55.8% | drop= 44.2% | inflight=  0 | hops= 5.41 | latency= 1.818 | queue= 0.001 | risk= 0.335 | sybil= 39.4%
learned #27  : generated= 297 | delivery= 55.2% | drop= 44.8% | inflight=  0 | hops= 5.82 | latency= 1.919 | queue= 0.001 | risk= 0.350 | sybil= 39.4%
learned #28  : generated= 301 | delivery= 48.2% | drop= 51.8% | inflight=  0 | hops= 5.41 | latency= 1.849 | queue= 0.002 | risk= 0.343 | sybil= 43.2%
