rank,shortlist_slot,source,candidate_id,stage,parent,selection_score,cvar_score_low40,cvar_delivery_low40,cvar_sybil_high40,dev_score_mean,dev_score_std,dev_delivery_mean,dev_sybil_mean,dev_sybil_max,original_robust_score,params
1,1,runs/refine_edge_global_v2/stage2_results.csv,11337,stage2,top4,0.28084366649298276,0.3939200184589383,0.5552830355672749,0.14073503455601652,0.4422071713057714,0.049141292680201565,0.5967589170740285,0.1289140858883584,0.14125670712698393,0.5592307299896137,"{""adapt_step"": 0.08696661587712777, ""bandwidth_weight"": 1.0534549826535287, ""drop_threshold"": 0.37316530824172417, ""edge_penalty"": 0.7744404080142208, ""latency_weight"": 1.8569671258964653, ""learned_penalty"": 11.850780069783124, ""loop_penalty"": 14.697722566638504, ""loss_weight"": 98.83286050626144, ""low_ttl_penalty"": 2.3697553501324147, ""max_budget"": 0.6102650644631589, ""min_budget"": 0.11724679604500325, ""progress_weight"": 10.617393477350024, ""reputation_decay"": 0.7511345329319752, ""reputation_penalty"": 5.130579498914811, ""risk_budget"": 0.07609454487441013, ""solver"": ""edge"", ""stability_weight"": 4.219483857179787, ""sybil_threshold"": 0.3901881465349814, ""window_size"": 5}"
2,2,runs/refine_edge_global_v2/stage2_results.csv,5698,stage2,top1,0.2784652806782426,0.3846132172074579,0.5362172969056114,0.12819009266488113,0.4417109453378315,0.05374812343789466,0.5857014068280899,0.11727754818392773,0.12898271993782526,0.5766326940378742,"{""adapt_step"": 0.01012630759787903, ""bandwidth_weight"": 0.6991045439746605, ""drop_threshold"": 0.4007132079687583, ""edge_penalty"": 1.0960155935954863, ""latency_weight"": 6.0, ""learned_penalty"": 12.818417201501303, ""loop_penalty"": 11.116835863791396, ""loss_weight"": 66.73797161416358, ""low_ttl_penalty"": 3.6454759352383554, ""max_budget"": 0.7120371896868728, ""min_budget"": 0.08970934831827757, ""progress_weight"": 6.036253696446586, ""reputation_decay"": 0.7513241973989813, ""reputation_penalty"": 1.1694945118230116, ""risk_budget"": 0.20250130126823557, ""solver"": ""edge"", ""stability_weight"": 0.6348247321553834, ""sybil_threshold"": 0.2425112459004924, ""window_size"": 32}"
3,4,runs/refine_edge_global_v2/stage2_results.csv,11278,stage2,top1,0.27822014105824366,0.38508115969052975,0.5450786334568802,0.1332194365722927,0.43951730441003917,0.05183383067709811,0.5882150639793893,0.12224569453871763,0.13694289657468034,0.5588637035016231,"{""adapt_step"": 0.01679938837544604, ""bandwidth_weight"": 0.6697625346168529, ""drop_threshold"": 0.23623047773799105, ""edge_penalty"": 0.5073166830345975, ""latency_weight"": 6.0, ""learned_penalty"": 7.787698704108563, ""loop_penalty"": 7.877763735742386, ""loss_weight"": 44.52837451680966, ""low_ttl_penalty"": 2.8787620454281715, ""max_budget"": 0.6915735485087648, ""min_budget"": 0.08957236668406784, ""progress_weight"": 5.343392332880635, ""reputation_decay"": 0.7949863869594751, ""reputation_penalty"": 1.9645107316423358, ""risk_budget"": 0.16587544218110017, ""solver"": ""edge"", ""stability_weight"": 2.2121633983455347, ""sybil_threshold"": 0.1922904108551165, ""window_size"": 32}"
4,5,runs/refine_edge_global_v2/stage2_results.csv,4679,stage2,base,0.27813081603306666,0.38973621548223064,0.5474918346108505,0.13699456931114418,0.44523616829199997,0.056135068384881685,0.5941991440856088,0.12310535051963009,0.138638026815297,0.5557006340306887,"{""adapt_step"": 0.008949293658186638, ""bandwidth_weight"": 0.883622979866159, ""drop_threshold"": 0.3494184648075089, ""edge_penalty"": 0.43778114865019824, ""latency_weight"": 5.3609873553318295, ""learned_penalty"": 8.780213582404127, ""loop_penalty"": 9.640335326603621, ""loss_weight"": 54.63553399385486, ""low_ttl_penalty"": 2.7635574038548376, ""max_budget"": 0.6541478370275828, ""min_budget"": 0.05909950765289472, ""progress_weight"": 5.508033828288475, ""reputation_decay"": 0.710741481322624, ""reputation_penalty"": 1.055382952659965, ""risk_budget"": 0.17088895198521756, ""solver"": ""edge"", ""stability_weight"": 1.7526517588572261, ""sybil_threshold"": 0.32210377605473683, ""window_size"": 32}"
5,6,runs/refine_edge_global_v2/stage2_results.csv,1188,stage2,top7,0.2765929449130459,0.38849088515665053,0.553777612469539,0.1416101446001739,0.4445564313625109,0.05267053579487612,0.6005089138320968,0.13061291750358914,0.14315881792272203,0.5627991937359224,"{""adapt_step"": 0.009570168199827558, ""bandwidth_weight"": 0.6976474362692903, ""drop_threshold"": 0.36937714440399405, ""edge_penalty"": 0.5927722411968737, ""latency_weight"": 4.9382340887163005, ""learned_penalty"": 6.639214383501197, ""loop_penalty"": 12.176202611757152, ""loss_weight"": 73.81057403542809, ""low_ttl_penalty"": 2.39834861477639, ""max_budget"": 0.6621228919203406, ""min_budget"": 0.030324423102251204, ""progress_weight"": 6.3811643846342765, ""reputation_decay"": 0.7826624129883752, ""reputation_penalty"": 1.4287508646236957, ""risk_budget"": 0.14454926347213756, ""solver"": ""edge"", ""stability_weight"": 1.887025344037276, ""sybil_threshold"": 0.3551787746328572, ""window_size"": 32}"
6,3,runs/refine_edge_global_v2/stage2_results.csv,4696,stage2,top2,0.276061821260624,0.384677889179307,0.538963058120866,0.1332139829048013,0.4375578070312498,0.050037064927316244,0.5849549025800032,0.1207512434422217,0.13366518543197528,0.5492110925615549,"{""adapt_step"": 0.004222510142249369, ""bandwidth_weight"": 1.0826229099444644, ""drop_threshold"": 0.38805947145729097, ""edge_penalty"": 0.4635597157387505, ""latency_weight"": 6.0, ""learned_penalty"": 12.462775797437287, ""loop_penalty"": 10.510031259716472, ""loss_weight"": 62.534877141798034, ""low_ttl_penalty"": 3.390397595928773, ""max_budget"": 0.5516727146932298, ""min_budget"": 0.146564373322203, ""progress_weight"": 6.263590128606361, ""reputation_decay"": 0.9406272009168221, ""reputation_penalty"": 1.0551655322574, ""risk_budget"": 0.16116804869121615, ""solver"": ""edge"", ""stability_weight"": 3.428630625682344, ""sybil_threshold"": 0.12596260636250523, ""window_size"": 16}"
7,,runs/refine_edge_global_v2/stage2_results.csv,11164,stage2,top1,0.2760432878641938,0.3856375355414493,0.5462029446396336,0.1363757673769383,0.4438735672454932,0.05664684997698919,0.5947349428116866,0.12499401667275878,0.1364522281545832,0.5427028862033763,"{""adapt_step"": 0.009640758415879568, ""bandwidth_weight"": 1.0872957842710034, ""drop_threshold"": 0.3622654867946249, ""edge_penalty"": 1.1620202882995117, ""latency_weight"": 4.831839620412876, ""learned_penalty"": 12.523525754165476, ""loop_penalty"": 10.436484869631254, ""loss_weight"": 61.73590043843673, ""low_ttl_penalty"": 3.5067585699138495, ""max_budget"": 0.6273469810140734, ""min_budget"": 0.07385582035673481, ""progress_weight"": 6.567034882147527, ""reputation_decay"": 0.759422409717594, ""reputation_penalty"": 1.0103638978998033, ""risk_budget"": 0.1770496287809178, ""solver"": ""edge"", ""stability_weight"": 1.1358583070372108, ""sybil_threshold"": 0.2561738008417397, ""window_size"": 32}"
8,,runs/refine_edge_global_v2/stage2_results.csv,7830,stage2,top1,0.2757089020553092,0.39079508998876966,0.5549001071196856,0.14486729317554986,0.445153359097354,0.05253210549303248,0.6031900122950524,0.13290414649069582,0.14586256226997735,0.5374661282149544,"{""adapt_step"": 0.009523816603239716, ""bandwidth_weight"": 0.71897242228728, ""drop_threshold"": 0.27843960696212455, ""edge_penalty"": 0.43611505886354457, ""latency_weight"": 6.0, ""learned_penalty"": 15.12023096006898, ""loop_penalty"": 8.748351121944685, ""loss_weight"": 53.425332085143964, ""low_ttl_penalty"": 4.08337017933766, ""max_budget"": 0.6440279892776059, ""min_budget"": 0.046206476265697814, ""progress_weight"": 8.59441075918256, ""reputation_decay"": 0.829428821033261, ""reputation_penalty"": 0.5405686866648219, ""risk_budget"": 0.14523105106949333, ""solver"": ""edge"", ""stability_weight"": 1.1604537976259452, ""sybil_threshold"": 0.21925465396320798, ""window_size"": 32}"
9,,runs/refine_edge_global_v2/stage2_results.csv,3811,stage2,top2,0.2755103959139076,0.3953920133370066,0.5612953451609928,0.15115444509949572,0.4515615125275289,0.05273147736321354,0.6121431916029121,0.13649115696583305,0.1526277647306465,0.562779126551311,"{""adapt_step"": 0.00557102999598151, ""bandwidth_weight"": 1.1722471030628199, ""drop_threshold"": 0.32439853891356457, ""edge_penalty"": 0.36672267511920154, ""latency_weight"": 4.63591808554821, ""learned_penalty"": 12.11704633707152, ""loop_penalty"": 10.991083418975366, ""loss_weight"": 61.37456520296843, ""low_ttl_penalty"": 4.12037856340626, ""max_budget"": 0.6387995156287707, ""min_budget"": 0.12332624884957921, ""progress_weight"": 8.125316752451322, ""reputation_decay"": 0.9617352078314584, ""reputation_penalty"": 0.8239198907800868, ""risk_budget"": 0.25067060987027034, ""solver"": ""edge"", ""stability_weight"": 3.050143302756245, ""sybil_threshold"": 0.20195973458265637, ""window_size"": 16}"
10,,runs/refine_edge_global_v2/stage2_results.csv,11162,stage2,top1,0.27541927694052226,0.38559419135352047,0.5490021677842457,0.13906569624567244,0.44116646308762214,0.052293052764696195,0.5935564983570618,0.12627594073069054,0.13928687253750938,0.557325012415608,"{""adapt_step"": 0.008220329356706347, ""bandwidth_weight"": 0.8748684777774187, ""drop_threshold"": 0.32328726252374324, ""edge_penalty"": 0.5675302112868036, ""latency_weight"": 5.0680615564597655, ""learned_penalty"": 10.522874412018696, ""loop_penalty"": 15.287020550514816, ""loss_weight"": 95.39128020924558, ""low_ttl_penalty"": 4.212731706372607, ""max_budget"": 0.6735144370912595, ""min_budget"": 0.06971002586680207, ""progress_weight"": 7.401390188042423, ""reputation_decay"": 0.8185336914462531, ""reputation_penalty"": 0.6281638118674755, ""risk_budget"": 0.15629628915771182, ""solver"": ""edge"", ""stability_weight"": 1.8790456506746087, ""sybil_threshold"": 0.2716339573366757, ""window_size"": 32}"
